"Date",Gross $,Customers
20121007,931.09,112
20121008,1051.58,119
20121009,1101.75,126
20121010,924.37,108
20121011,964.25,102
20121012,996.98,105
20121013,741.42,93
20121014,868.70,87
20121015,1157.37,124
20121016,859.76,102
20121017,728.95,88
20121018,928.40,107
20121019,838.12,102
20121020,633.45,82
20121021,995.41,88
20121022,985.76,110
20121023,1111.40,122
20121024,870.17,101
20121025,663.38,89
20121026,964.67,110
20121027,792.49,77
20121028,914.94,89
20121029,981.06,95
20121030,1048.26,116
20121031,747.60,88
20121101,921.57,98
20121102,646.63,91
20121103,801.71,89
20121104,1008.40,107
20121105,956.44,89
20121106,1053.19,109
20121107,934.92,98
20121108,810.40,99
20121109,794.43,89
20121110,766.41,102
20121111,669.01,80
20121112,913.27,101
20121113,1078.44,105
20121114,989.43,102
20121115,793.02,94
20121116,1245.57,91
20121117,969.63,112
20121118,1007.01,109
20121119,1167.34,118
20121120,939.78,110
20121121,939.20,105
20121122,238.97,32
20121123,502.92,62
20121124,553.70,60
20121125,875.26,86
20121126,966.90,109
20121127,735.28,92
20121128,965.82,96
20121129,1011.50,115
20121130,606.30,88
20121201,1016.95,103
20121202,947.90,100
20121203,868.28,98
20121204,791.51,111
20121205,801.47,88
20121206,988.09,100
20121207,908.04,110
20121208,971.94,96
20121209,873.26,98
20121210,1093.90,104
20121211,907.44,100
20121212,1028.57,95
20121213,697.65,92
20121214,717.39,79
20121215,606.27,66
20121216,820.10,81
20121217,501.04,67
20121218,716.27,84
20121219,720.41,62
20121220,533.56,62
20121221,513.54,57
20121222,435.28,47
20121223,307.62,41
20121224,473.16,55
20121225,223.41,20
20121226,382.39,48
20121227,521.00,58
20121228,433.14,46
20121229,478.99,52
20121230,597.65,66
20121231,661.98,61
20130101,703.28,68
20130102,736.18,83
20130103,651.05,80
20130104,722.68,72
20130105,695.13,78
20130106,989.82,89
20130107,1124.42,111
20130108,1129.85,115
20130109,1194.75,124
20130110,1037.35,114
20130111,1049.49,113
20130112,728.01,85
20130113,929.82,87
20130114,804.52,86
20130115,856.03,100
20130116,689.15,84
20130117,768.92,90
20130118,770.84,104
20130119,613.45,89
20130120,628.37,74
20130121,755.53,85
20130122,920.11,88
20130123,858.90,99
20130124,735.37,86
20130125,914.00,91
20130126,826.40,85
20130127,873.08,75
20130128,986.07,107
20130129,897.47,102
20130130,1046.04,106
20130131,990.29,97
20130201,835.73,102
20130202,802.72,94
20130203,748.89,81
20130204,1263.59,108
20130205,965.49,110
20130206,867.57,92
20130207,798.43,95
20130208,837.80,94
20130209,932.07,84
20130210,661.02,81
20130211,960.26,112
20130212,891.74,105
20130213,846.80,101
20130214,853.78,102
20130215,910.72,113
20130216,734.57,70
20130217,871.13,82
20130218,1031.14,106
20130219,957.73,106
20130220,1060.65,103
20130221,753.37,91
20130222,711.33,91
20130223,884.86,95
20130224,1108.89,111
20130225,1152.76,126
20130226,1064.65,101
20130227,1076.01,107
20130228,943.41,91
20130301,877.74,102
20130302,701.38,79
20130303,865.40,83
20130304,1020.99,111
20130305,1056.33,108
20130306,987.00,95
20130307,932.26,84
20130308,830.27,99
20130309,914.80,102
20130310,741.07,92
20130311,978.19,107
20130312,883.18,102
20130313,1011.56,123
20130314,1031.57,107
20130315,801.07,88
20130316,1008.09,116
20130317,868.14,100
20130318,914.14,102
20130319,1022.23,107
20130320,988.51,109
20130321,707.69,87
20130322,862.94,91
20130323,754.96,75
20130324,591.12,57
20130325,536.33,68
20130326,731.21,82
20130327,918.86,95
20130328,680.88,95
20130329,783.03,86
20130330,854.55,89
20130331,1263.17,119
20130401,1459.13,144
20130402,898.02,102
20130403,1011.86,109
20130404,1129.05,120
20130405,1151.70,133
20130406,605.45,76
20130407,1200.11,121
20130408,1001.35,109
20130409,951.09,113
20130410,873.18,101
20130411,1013.25,108
20130412,851.74,98
20130413,946.54,106
20130414,1121.25,132
20130415,883.71,101
20130416,923.12,105
20130417,959.65,98
20130418,778.80,99
20130419,900.48,111
20130420,1086.35,114
20130421,1203.10,121
20130422,990.72,99
20130423,1014.05,100
20130424,965.04,107
20130425,959.45,121
20130426,997.24,119
20130427,987.87,112
20130428,1344.53,129
20130429,1209.29,128
20130430,1219.10,167
20130501,768.60,102
20130502,1040.67,106
20130503,720.51,93
20130504,932.80,111
20130505,952.64,114
20130506,1010.11,125
20130507,1268.49,127
20130508,1291.90,129
20130509,844.38,81
20130510,866.60,103
20130511,768.95,98
20130512,1188.90,108
20130513,845.00,106
