"Date",Gross $,Customers
20120222,214.50,35
20120223,206.53,26
20120224,231.27,36
20120225,361.26,35
20120226,277.88,35
20120227,233.58,26
20120228,266.65,24
20120229,268.56,50
20120301,373.88,45
20120302,254.48,40
20120303,242.16,31
20120304,219.09,35
20120305,258.46,32
20120306,199.32,34
20120307,219.30,33
20120308,268.29,39
20120309,204.10,32
20120310,265.12,48
20120311,263.61,31
20120312,367.20,57
20120313,233.48,35
20120314,367.78,59
20120315,236.98,31
20120316,462.05,43
20120317,220.11,27
20120318,178.30,17
20120319,237.68,36
20120320,175.13,25
20120321,188.27,27
20120322,194.30,21
20120323,180.75,29
20120324,247.71,25
20120325,144.90,20
20120326,239.87,31
20120327,323.87,39
20120328,342.90,37
20120329,174.03,23
20120330,178.49,28
20120331,291.52,48
20120401,278.77,37
20120402,265.63,38
20120403,167.46,21
20120404,314.65,36
20120405,247.28,29
20120406,375.60,49
20120407,192.86,38
20120408,204.23,38
20120409,291.34,34
20120410,455.77,43
20120411,211.60,33
20120412,311.55,37
20120413,408.39,60
20120414,552.62,56
20120415,297.16,35
20120416,363.14,48
20120417,279.06,34
20120418,230.44,35
20120419,310.65,44
20120420,379.07,53
20120421,260.92,43
20120422,183.01,31
20120423,281.69,35
20120424,250.14,30
20120425,328.35,44
20120426,275.00,51
20120427,361.25,58
20120428,406.12,59
20120429,370.33,43
20120430,248.15,26
20120501,420.96,44
20120502,515.06,60
20120503,446.32,54
20120504,433.73,52
20120505,339.75,55
20120506,257.72,37
20120507,320.25,47
20120508,425.18,56
20120509,419.78,55
20120510,396.16,51
20120511,423.32,65
20120512,258.34,49
20120513,335.28,42
20120514,274.95,41
20120515,383.73,52
20120516,387.01,57
20120517,300.63,40
20120518,444.76,70
20120519,333.39,63
20120520,303.20,35
20120521,263.57,38
20120522,397.40,55
20120523,362.27,54
20120524,350.30,56
20120525,441.30,57
20120526,351.82,53
20120527,372.95,57
20120528,375.65,57
20120529,394.32,56
20120530,325.46,36
20120531,329.92,41
20120601,331.76,46
20120602,437.59,56
20120603,387.38,55
20120604,261.42,50
20120605,313.21,45
20120606,354.91,43
20120607,288.40,42
20120608,437.39,61
20120609,251.64,38
20120610,352.14,51
20120611,235.69,37
20120612,206.34,39
20120613,170.98,32
20120614,193.60,30
20120615,352.63,44
20120616,156.21,28
20120617,293.62,36
20120618,184.56,28
20120619,311.56,40
20120620,280.11,32
20120621,248.10,30
20120622,348.30,44
20120623,207.86,30
20120624,292.89,35
20120625,141.67,18
20120626,162.71,31
20120627,326.92,38
20120628,269.98,43
20120629,381.40,50
20120630,248.49,29
20120701,201.05,32
20120702,215.99,33
20120703,235.35,34
20120704,247.20,41
20120705,196.70,37
20120706,253.07,36
20120707,285.75,31
20120708,256.75,36
20120709,168.57,28
20120710,243.50,26
20120711,262.61,29
20120712,198.45,30
20120713,266.06,40
20120714,190.07,35
20120715,307.88,34
20120716,230.78,36
20120717,273.14,40
20120718,186.62,24
20120719,254.87,33
20120720,261.45,43
20120721,285.46,39
20120722,245.68,36
20120723,217.66,29
20120724,256.27,32
20120725,196.25,29
20120726,274.19,40
20120727,106.52,27
20120728,255.73,40
20120729,169.05,27
20120730,191.86,22
20120731,148.36,20
20120801,269.55,36
20120802,203.11,36
20120803,216.80,35
20120804,249.48,38
20120805,137.29,21
20120806,267.65,30
20120807,119.01,22
20120808,275.50,37
20120809,172.68,22
20120810,329.16,41
20120811,257.64,38
20120812,355.67,38
20120813,243.25,35
20120814,138.99,28
20120815,265.28,37
20120816,188.43,29
20120817,318.94,48
20120818,137.99,23
20120819,170.43,31
20120820,212.14,29
20120821,236.71,22
20120822,201.52,32
20120823,191.08,33
20120824,171.80,38
20120825,283.08,31
20120826,77.30,16
20120827,149.93,26
20120828,180.51,24
20120829,240.73,28
20120830,201.55,22
20120831,140.21,19
20120901,169.83,36
20120902,258.55,28
20120903,145.33,20
20120904,120.34,14
20120905,328.68,38
20120906,176.43,23
20120907,147.01,18
20120908,75.94,15
20120909,187.35,23
20120910,149.26,23
20120911,141.69,18
20120912,272.18,17
20120913,182.75,23
20120914,259.64,30
20120915,133.22,19
20120916,98.15,19
20120917,187.23,25
20120918,144.24,22
20120919,205.18,25
20120920,160.87,31
20120921,231.43,27
20120922,283.67,34
20120923,198.66,22
20120924,264.46,37
20120925,255.10,40
20120926,378.14,46
20120927,356.18,50
20120928,370.21,44
20120929,295.31,44
20120930,256.91,32
20121001,146.85,25
20121002,73.55,11
20121003,202.59,28
20121004,294.42,34
20121005,399.72,51
20121006,319.20,47
20121007,149.87,29
20121008,323.54,41
20121009,218.23,23
20121010,257.49,29
20121011,454.22,42
20121012,443.23,53
20121013,497.97,57
20121014,210.44,35
20121015,202.23,29
20121016,279.44,24
20121017,311.51,43
20121018,250.11,30
20121019,267.71,39
20121020,390.66,38
20121021,216.86,26
20121022,207.90,28
20121023,163.41,29
20121024,220.04,35
20121025,275.39,34
20121026,428.66,45
20121027,196.56,17
20121028,409.78,49
20121029,231.68,36
20121030,120.25,21
20121031,270.66,24
20121101,230.57,32
20121102,390.40,53
20121103,359.07,44
20121104,331.15,40
